J-Date,Date,Open,High,Low,Close
1399-10-13,2021-01-02,256990,257050,256140,256190
1399-10-14,2021-01-03,256160,256250,255640,255670
1399-10-15,2021-01-04,255650,257750,255640,257640
1399-10-16,2021-01-05,257740,259050,257640,259020
1399-10-17,2021-01-06,259030,259050,258440,258540
1399-10-18,2021-01-07,257530,257550,255440,255510
1399-10-20,2021-01-09,255550,255550,248640,248660
1399-10-21,2021-01-10,248690,248690,245840,248520
1399-10-22,2021-01-11,248450,249550,248440,248490
1399-10-23,2021-01-12,248540,248550,248440,248440
1399-10-24,2021-01-13,248520,248550,244940,244980
1399-10-25,2021-01-14,242870,242950,239440,239530
1399-10-27,2021-01-16,239540,239540,229440,229470
1399-10-29,2021-01-18,229550,229550,217900,218010
1399-10-30,2021-01-19,215900,217950,203860,217950
1399-11-01,2021-01-20,217940,227550,217840,227520
1399-11-02,2021-01-21,226510,226550,226440,226550
1399-11-04,2021-01-23,226530,226530,224240,224320
1399-11-05,2021-01-24,224340,224350,224240,224340
1399-11-06,2021-01-25,224250,229750,224240,229660
1399-11-07,2021-01-26,229720,229750,229140,229180
1399-11-08,2021-01-27,229150,234150,229140,234130
1399-11-09,2021-01-28,234070,234150,232040,232110
1399-11-11,2021-01-30,232050,237250,232040,237170
1399-11-12,2021-01-31,237180,239250,237140,239210
1399-11-13,2021-02-01,239170,239170,238640,238720
1399-11-14,2021-02-02,238650,238750,238640,238710
1399-11-15,2021-02-03,238680,238750,237640,237660
1399-11-16,2021-02-04,237500,237550,237440,237470
1399-11-18,2021-02-06,237520,237550,237440,237550
1399-11-19,2021-02-07,237490,237550,236940,236960
1399-11-20,2021-02-08,237050,237050,236940,236940
1399-11-21,2021-02-09,238970,241050,238940,241030
1399-11-23,2021-02-11,245960,247050,245940,246960
1399-11-25,2021-02-13,247040,249850,246940,249810
1399-11-26,2021-02-14,249830,249850,249740,249770
1399-11-27,2021-02-15,249780,249850,249740,249740
1399-11-28,2021-02-16,249820,249850,249740,249740
1399-11-29,2021-02-17,249780,251850,249740,251750
1399-11-30,2021-02-18,251710,253620,251640,251710
1399-12-02,2021-02-20,251750,252250,249920,249990
1399-12-03,2021-02-21,249970,250030,242400,242530
1399-12-04,2021-02-22,242510,243750,241790,241880
1399-12-05,2021-02-23,241810,246520,241790,246420
1399-12-06,2021-02-24,246510,252520,246410,248210
1399-12-09,2021-02-27,248150,253720,248110,252400
1399-12-10,2021-02-28,252430,252440,246960,247050
1399-12-11,2021-03-01,247030,249500,246960,247480
1399-12-12,2021-03-02,247580,247590,244280,244370
1399-12-13,2021-03-03,244330,247910,244330,246680
1399-12-14,2021-03-04,246700,246790,246530,246610
1399-12-16,2021-03-06,246580,246770,242700,242710
1399-12-17,2021-03-07,242800,242810,239850,239900
1399-12-18,2021-03-08,239960,244610,239850,243210
1399-12-19,2021-03-09,243240,244280,241050,242070
1399-12-20,2021-03-10,242100,242710,241240,242420
1399-12-23,2021-03-13,242400,243850,241770,241770
1399-12-24,2021-03-14,241810,241880,239100,239170
1399-12-25,2021-03-15,239200,239210,239100,239170
1399-12-26,2021-03-16,239200,241380,239100,240890
1399-12-27,2021-03-17,240920,240950,240320,240400
1399-12-28,2021-03-18,240410,240430,239550,239630
1400-01-07,2021-03-27,239640,247580,239550,247560
1400-01-08,2021-03-28,247510,252350,247470,252330
1400-01-10,2021-03-30,252340,257120,252240,252540
1400-01-11,2021-03-31,252550,252550,251990,252040
1400-01-12,2021-04-01,252040,252100,251990,252100
1400-01-14,2021-04-03,252010,252100,244600,244650
1400-01-15,2021-04-04,244700,244710,242630,242720
1400-01-16,2021-04-05,242660,245310,242630,244050
1400-01-17,2021-04-06,244100,247170,244010,247110
1400-01-18,2021-04-07,247150,247170,244620,244620
1400-01-19,2021-04-08,244730,244730,244620,244660
1400-01-21,2021-04-10,242890,243570,241860,241880
1400-01-22,2021-04-11,241950,243930,241860,242850
1400-01-23,2021-04-12,242920,243740,242520,242960
1400-01-24,2021-04-13,243020,243060,240790,240900
1400-01-25,2021-04-14,240800,242390,240790,242350
1400-01-26,2021-04-15,240920,241010,239860,239870
1400-01-28,2021-04-17,239930,240000,239860,239930
1400-01-29,2021-04-18,239900,240000,238750,238820
1400-01-30,2021-04-19,238830,238860,238170,238170
1400-01-31,2021-04-20,238190,238280,233640,233740
1400-02-01,2021-04-21,233650,233750,233640,233690
1400-02-02,2021-04-22,233750,233750,233280,233300
1400-02-04,2021-04-24,233350,233390,233280,233370
1400-02-05,2021-04-25,233280,233390,233280,233390
1400-02-06,2021-04-26,233380,233390,232750,232760
1400-02-07,2021-04-27,232770,234090,232540,232610
1400-02-08,2021-04-28,232640,232650,232310,232330
1400-02-09,2021-04-29,232410,232420,232310,232310
1400-02-11,2021-05-01,232340,232420,229020,229100
1400-02-12,2021-05-02,229110,229130,218380,218380
1400-02-13,2021-05-03,218430,218490,217260,217310
1400-02-15,2021-05-05,214080,214080,206210,209450
1400-02-16,2021-05-06,206440,206480,206370,206480
1400-02-18,2021-05-08,206390,206480,206370,206370
1400-02-19,2021-05-09,206450,207300,206370,207260
1400-02-20,2021-05-10,207240,217040,207190,216130
1400-02-21,2021-05-11,216080,223410,216080,221850
1400-02-22,2021-05-12,221860,221950,219750,219750
1400-02-23,2021-05-13,219790,219860,216130,216130
1400-02-25,2021-05-15,220760,221880,220410,220500
1400-02-26,2021-05-16,220520,224160,220410,224140
1400-02-27,2021-05-17,224160,225270,222140,222190
1400-02-28,2021-05-18,222240,225380,222140,225340
1400-02-29,2021-05-19,225270,225380,221720,221790
1400-02-30,2021-05-20,223990,224020,222930,223000
1400-03-01,2021-05-22,222980,223550,222930,223490
1400-03-02,2021-05-23,223440,223990,223390,223510
1400-03-03,2021-05-24,223590,225110,223490,224110
1400-03-04,2021-05-25,224120,224430,223150,224100
