J-Date,Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
1399-10-13,2021-01-02,81400,81600,80100,80508,80670,503334,40603752645,905,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-14,2021-01-03,81140,81700,80830,81600,81341,568018,46203237316,709,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-15,2021-01-04,84000,85490,84000,84800,84669,630062,53346516086,1025,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-16,2021-01-05,85700,89477,85500,88994,87868,1246916,109564521819,1820,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-17,2021-01-06,89000,89000,86220,88002,87735,865185,75906753822,1269,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-20,2021-01-09,78962,79750,78962,78962,79055,1233088,97482215063,2011,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-21,2021-01-10,80100,81000,79100,80200,79926,469101,37493217249,1131,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-22,2021-01-11,80500,80500,78900,79002,79258,258625,20498105801,762,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-23,2021-01-12,79500,79680,78600,79100,79377,316876,25152651268,628,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-24,2021-01-13,78002,78699,76605,77370,77430,472850,36612822613,878,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-27,2021-01-16,73500,73500,69687,70200,70436,1154808,81339742753,1332,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-29,2021-01-18,65701,70000,65701,68270,67850,647435,43928456757,989,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-10-30,2021-01-19,71300,74500,71300,73820,73067,1071105,78262874615,1347,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-01,2021-01-20,76000,76498,74880,74901,75813,793346,60145835670,1237,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-04,2021-01-23,75000,76100,73531,73997,74208,637339,47295604842,932,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-05,2021-01-24,75001,76800,75001,75951,76240,441604,33667676375,825,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-06,2021-01-25,75952,76500,75032,75480,75501,524949,39633961250,704,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-07,2021-01-26,72610,74266,71620,72150,72280,1425102,103005998667,838,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-08,2021-01-27,75100,75499,73550,74245,74616,647234,48294233736,856,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-11,2021-01-30,77200,77777,76510,77186,77164,679212,52411010933,1072,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-12,2021-01-31,77400,79900,77000,79255,78059,953983,74467128752,966,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-13,2021-02-01,77900,78499,77400,77800,77856,484804,37744868249,617,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-14,2021-02-02,78000,78497,77410,78010,77816,302887,23569486634,452,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-15,2021-02-03,76200,77200,75025,76980,76533,304792,23326504081,386,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-18,2021-02-06,77127,77199,76660,77050,76849,1041142,80010877358,550,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-19,2021-02-07,77400,78789,77131,78506,77896,454145,35376055884,652,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-20,2021-02-08,81010,82202,81010,82200,81691,746437,60977179330,1034,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-21,2021-02-09,83750,86212,83750,85000,85196,898672,76563474103,1389,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-25,2021-02-13,89790,89790,88001,88498,88600,881538,78104172326,1533,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-26,2021-02-14,88420,88420,85509,87100,86727,650217,56391486283,1205,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-27,2021-02-15,85702,85702,85001,85300,85308,657008,56048345502,789,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-28,2021-02-16,86490,87290,85601,86998,86763,777100,67423884098,745,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-11-29,2021-02-17,86499,87010,86000,86010,86204,727486,62712253069,739,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-02,2021-02-20,81090,83970,81090,82984,83004,1239623,102893053367,899,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-03,2021-02-21,80680,82742,79999,79999,81426,1270869,103481706045,1059,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-04,2021-02-22,80500,81999,79850,79920,80410,579135,46568511125,933,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-05,2021-02-23,80120,82900,80120,80501,80543,1306533,105231700477,844,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-06,2021-02-24,81500,81670,80800,81400,81414,1434760,116808974253,740,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-09,2021-02-27,80900,80900,80150,80650,80566,1109495,89387577851,574,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-10,2021-02-28,80002,80150,79316,79699,79859,656461,52424648989,444,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-11,2021-03-01,80750,81000,79960,80800,80375,1306708,105026180079,645,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-12,2021-03-02,79050,79300,78202,78700,78891,528984,41731840071,587,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-13,2021-03-03,78891,79600,78891,79176,79276,265562,21052665739,393,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-16,2021-03-06,78497,78497,74761,75530,75816,393468,29830984748,1003,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-17,2021-03-07,76000,76750,75030,75600,75638,468066,35403424184,678,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-18,2021-03-08,75598,75598,75598,75598,75598,11130,841405740,16,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-19,2021-03-09,75491,75491,74420,74502,74745,464040,34684715659,875,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-20,2021-03-10,75450,75990,75300,75500,75384,982686,74078614451,658,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-23,2021-03-13,77100,77500,75500,76720,76628,1978019,151571756923,945,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-24,2021-03-14,77000,77000,74800,74800,75891,2136883,162169712245,1259,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-25,2021-03-15,75600,76000,73810,74051,74464,1671761,124485355518,1497,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-26,2021-03-16,75021,76500,75021,76399,76123,545733,41543039235,833,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1399-12-27,2021-03-17,77477,77940,77110,77770,77700,449343,34913942994,700,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-07,2021-03-27,78000,78698,78000,78355,78321,271158,21237379491,709,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-08,2021-03-28,79100,80650,79100,80139,80228,424949,34092876894,939,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-10,2021-03-30,80010,80200,78700,79112,79469,419398,33329170494,805,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-11,2021-03-31,78620,79111,78200,79109,78748,200056,15754104663,487,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-14,2021-04-03,76300,76880,75951,76500,76472,844378,64571332528,785,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-15,2021-04-04,76000,77300,76000,76698,76591,173866,13316654951,461,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-16,2021-04-05,76698,77650,76503,77330,77307,645979,49938753057,464,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-17,2021-04-06,77850,77990,77150,77470,77684,215222,16719240719,467,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-18,2021-04-07,77210,77750,76800,77700,77411,281022,21754143615,389,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-21,2021-04-10,75501,76000,74712,74735,75108,270310,20302462102,624,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-22,2021-04-11,74632,75030,74052,74200,74346,473404,35195562617,666,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-23,2021-04-12,75100,75228,74618,74820,74939,170266,12759502643,435,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-24,2021-04-13,74150,74799,74120,74455,74376,114843,8541617070,318,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-25,2021-04-14,75100,75198,74800,75050,74933,385795,28908852334,491,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-28,2021-04-17,75000,75460,75000,75147,75164,177059,13308420442,390,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-29,2021-04-18,74400,74400,73501,74050,73937,463612,34278144344,589,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-30,2021-04-19,74200,74200,72800,72818,73241,323398,23686130284,522,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-01-31,2021-04-20,72000,72000,70800,71455,71315,443038,31595451593,623,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-01,2021-04-21,71455,72000,71400,71900,71721,191872,13761246711,437,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-04,2021-04-24,71002,71800,70605,71660,71200,736493,52438029631,593,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-05,2021-04-25,72480,72499,71741,72250,72168,163691,11813230885,292,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-06,2021-04-26,71200,71251,70365,70368,70799,260012,18408588651,653,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-07,2021-04-27,70800,71176,70611,70770,70816,204976,14515638832,323,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-08,2021-04-28,70700,71250,70402,70969,70956,794208,56353941908,332,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-11,2021-05-01,70400,70400,68001,68500,68619,409347,28088817064,885,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-12,2021-05-02,67000,67003,66450,66649,66706,293949,19608104389,789,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-13,2021-05-03,66170,66933,66170,66583,66595,419882,27961929400,544,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-15,2021-05-05,65210,65870,65170,65860,65416,565595,36999003986,784,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-18,2021-05-08,65869,67948,65869,67900,67278,680956,45813606708,798,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-19,2021-05-09,68700,68720,67850,68551,68270,615197,41999217057,657,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-20,2021-05-10,69500,71000,69000,70848,69824,1182012,82533277079,1043,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-21,2021-05-11,72223,72500,71100,71730,71792,1252512,89920593411,1051,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-22,2021-05-12,72000,72336,71200,72250,71962,329566,23716281071,639,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-25,2021-05-15,73150,73800,73000,73528,73326,757202,55522548139,718,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-26,2021-05-16,74790,74800,72809,73050,73824,521772,38519266746,853,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-27,2021-05-17,72300,72300,71600,71770,71811,357567,25677180998,504,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-28,2021-05-18,72810,73200,72512,73150,73054,259230,18937662616,457,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-02-29,2021-05-19,71196,71300,70160,71115,70870,331177,23470488996,408,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-01,2021-05-22,71381,71381,70301,70683,70760,178256,12613454641,453,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-02,2021-05-23,71117,72990,71117,72100,72286,472078,34124435057,384,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-03,2021-05-24,73912,74197,73060,74099,73765,559790,41292642077,560,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-04,2021-05-25,72550,74047,72550,73726,73770,2486610,183437411265,649,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-05,2021-05-26,74500,76400,73650,75800,75266,3214232,241922978426,925,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-08,2021-05-29,77000,78150,76160,77990,77420,2045758,158382744608,1443,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-09,2021-05-30,78340,79000,76500,76800,77734,1430277,111181865555,1399,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-10,2021-05-31,76500,76620,75000,76100,75948,1023360,77722212800,745,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-11,2021-06-01,77400,77400,76840,77280,77161,232451,17936184817,453,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
1400-03-12,2021-06-02,77410,78690,77350,78180,78214,388541,30389188839,806,طلا,صندوق س.پشتوانه طلای لوتوس,نامعلوم
